 ,Area,Mean,Min,Max,Angle,Length
164,11,145.991,134.000,171.000,16.699,10.440
165,11,158.700,155.000,164.000,5.711,10.050
166,9,155.472,151.000,165.000,14.036,8.246
167,10,158.274,156.000,162.000,20.556,8.544
168,12,145.562,139.174,157.000,21.801,10.770
169,10,135.700,127.000,152.000,0.000,9.000
170,11,132.818,123.600,150.000,5.711,10.050
171,10,141.000,132.000,165.000,0.000,9.000
172,8,144.500,137.000,161.000,0.000,7.000
173,9,125.361,119.000,136.000,14.036,8.246
174,7,154.714,151.000,159.000,0.000,6.000
175,9,128.750,119.750,145.000,14.036,8.246
176,9,146.854,143.500,154.000,29.745,8.062
177,10,121.000,109.333,140.000,18.435,9.487
178,9,128.778,121.000,141.000,0.000,8.000
179,12,129.383,118.818,145.000,21.801,10.770
180,12,158.503,157.074,161.000,21.801,10.770
181,7,130.643,124.167,144.000,9.462,6.083
182,17,124.515,102.375,154.000,7.125,16.125
183,11,126.818,116.800,146.000,11.310,10.198
184,16,157.196,144.800,188.000,3.814,15.033
185,19,148.772,135.222,186.000,6.340,18.111
186,15,150.971,142.500,170.000,12.095,14.318
187,11,150.218,145.400,161.000,5.711,10.050
188,15,152.267,138.429,187.000,4.086,14.036
189,10,151.122,146.667,161.000,6.340,9.055
190,10,151.216,144.444,170.000,26.565,8.944
191,12,164.112,161.975,167.000,21.801,10.770
192,16,169.188,162.000,179.000,0.000,15.000
193,12,155.371,145.000,180.000,10.305,11.180
194,11,143.691,135.300,171.000,5.711,10.050
195,10,139.380,134.574,151.500,19.440,9.014
196,11,159.309,154.400,173.000,16.699,10.440
197,13,137.231,122.000,164.000,0.000,12.000
198,10,153.944,150.667,159.000,6.340,9.055
199,9,158.639,149.000,176.000,14.036,8.246
200,10,152.395,147.778,159.000,26.565,8.944
201,13,127.365,111.824,150.194,11.004,12.225
202,13,129.801,113.000,168.000,4.764,12.042
203,6,158.033,157.000,159.000,11.310,5.099
204,8,136.500,133.000,141.000,0.000,7.000
205,13,143.712,138.250,155.000,14.036,12.369
206,11,124.018,113.600,140.000,16.699,10.440
207,17,150.412,133.000,184.000,0.000,16.000
208,15,147.448,137.857,175.000,-4.086,14.036
209,13,128.429,118.500,152.000,4.764,12.042
210,14,141.571,133.000,158.000,0.000,13.000
211,12,141.000,133.000,156.000,0.000,11.000
212,11,159.818,157.000,162.000,0.000,10.000
213,14,132.003,124.763,142.000,18.435,12.649
214,13,134.308,124.000,157.000,0.000,12.000
215,17,145.055,136.312,161.000,3.576,16.031
216,13,155.968,150.250,165.167,30.964,11.662
217,17,158.623,154.125,165.000,18.435,15.811
218,20,126.750,117.421,143.000,-36.254,18.601
219,20,151.244,143.263,161.000,15.524,18.682
220,13,164.692,161.000,168.000,0.000,12.000
221,16,166.587,161.333,170.000,-3.814,15.033
222,12,155.417,152.000,160.000,0.000,11.000
223,15,150.733,144.000,164.000,0.000,14.000
224,20,158.695,151.053,168.000,-8.973,19.235
225,21,147.248,140.200,163.000,-11.310,20.396
226,17,138.592,130.062,152.000,-10.620,16.279
227,23,146.763,137.688,161.000,13.392,21.587
228,19,141.421,131.000,157.000,0.000,18.000
229,14,142.720,139.000,150.000,-12.995,13.342
230,12,152.848,150.727,156.000,5.194,11.045
231,18,133.036,126.000,147.000,-10.008,17.263
232,14,147.687,143.000,158.000,4.399,13.038
233,15,153.671,151.551,159.000,17.103,13.601
234,16,154.131,147.667,163.000,19.654,14.866
235,12,141.167,134.000,154.000,0.000,11.000
236,11,155.291,152.000,159.000,-11.310,10.198
237,11,157.455,155.200,162.000,-11.310,10.198
238,13,162.109,160.500,163.500,4.764,12.042
239,11,159.955,157.400,163.000,-5.711,10.050
240,14,147.778,137.698,173.000,18.435,12.649
241,13,137.440,127.333,151.000,19.983,11.705
242,6,155.833,153.000,161.000,21.801,5.385
243,11,159.309,153.600,173.000,-5.711,10.050
244,10,147.449,142.210,157.000,-32.005,9.434
245,11,153.364,149.200,160.000,-5.711,10.050
246,13,152.808,146.500,160.000,-14.036,12.369
247,11,160.909,159.000,166.000,0.000,10.000
248,15,127.333,107.000,167.000,0.000,14.000
249,10,160.700,157.000,166.000,0.000,9.000
250,10,153.967,149.889,157.000,-6.340,9.055
251,9,154.389,150.000,159.000,-14.036,8.246
252,7,154.095,152.500,157.000,9.462,6.083
253,13,123.103,107.417,153.000,-4.764,12.042
254,16,125.000,103.000,167.000,0.000,15.000
255,13,118.712,103.000,141.000,14.036,12.369
256,13,130.788,114.333,166.000,-4.764,12.042
257,14,136.390,120.769,163.000,4.399,13.038
258,13,131.154,116.000,167.000,0.000,12.000
259,13,126.635,112.417,153.000,-4.764,12.042
260,6,148.267,146.200,153.000,11.310,5.099
261,11,151.191,144.800,166.000,5.711,10.050
262,11,154.727,150.000,160.000,0.000,10.000
263,11,132.364,121.000,160.000,0.000,10.000
264,14,126.429,108.000,165.000,0.000,13.000
